year,state,black_prop_vap,black,total_vap
2006,AK,0.016389811738648948,7400,451500
2006,AZ,0.026987696785289058,122400,4535400
2006,AR,0.11744180707956475,255800,2178100
2006,CA,0.05169380353422332,1339800,25918000
2006,CO,0.02511786925473545,91100,3626900
2006,CT,0.06794308276838262,182400,2684600
2006,DE,0.14229311433986103,90100,633200
2006,FL,0.11481261964615395,1685300,14678700
2006,GA,0.24833584163000694,1716100,6910400
2006,HI,0.013169620754530152,13300,1009900
2006,ID,0.0026564074379408264,2900,1091700
2006,IL,0.10229714786454965,980600,9585800
2006,IN,0.05933629305276815,292700,4932900
2006,IA,0.011679573441665609,27600,2363100
2006,KS,0.03486521901909397,74500,2136800
2006,KY,0.05844155844155844,192600,3295600
2006,LA,0.23883544626361725,749800,3139400
2006,ME,0.004973639709539441,5000,1005300
2006,MD,0.2281183932346723,971100,4257000
2006,MA,0.045303889465697626,226900,5008400
2006,MI,0.08613970350229819,665300,7723500
2006,MN,0.01919830692096445,76200,3969100
2006,MS,0.3114739020464475,677300,2174500
2006,MO,0.07554824561403509,344500,4560000
2006,MT,0.00370264881800057,2600,702200
2006,NE,0.02265038976320047,30800,1359800
2006,NV,0.059492332099418295,112500,1891000
2006,NH,0.005204163330664532,5200,999200
2006,NJ,0.1046161336457414,687600,6572600
2006,NM,0.01671250264438333,23700,1418100
2006,NY,0.11615811373092927,1675000,14420000
2006,NC,0.17956449882571254,1238600,6897800
2006,ND,0.002872462657985446,1500,522200
2006,OH,0.08311251642209802,746500,8981800
2006,OK,0.052415210688591986,142800,2724400
2006,OR,0.01139000210925965,32400,2844600
2006,PA,0.061099230990664964,594300,9726800
2006,RI,0.03494396915290999,29000,829900
2006,SC,0.22451445580737378,761800,3393100
2006,SD,0.003934426229508197,2400,610000
2006,TN,0.12475113313847587,589000,4721400
2006,TX,0.09761074534422431,1626400,16662100
2006,UT,0.006272810218978102,11000,1753600
2006,VT,0.00390223865270076,1900,486900
2006,VA,0.16211633033745973,956000,5897000
2006,WA,0.024801055539520885,120300,4850600
2006,WV,0.028658536585365855,42300,1476000
2006,WI,0.02667386366192115,118600,4446300
2006,WY,0.0048449612403100775,2000,412800
2007,AL,0.21198985850985524,777600,3668100
2007,AK,0.01968073474743057,9000,457300
2007,AZ,0.028089399078180713,129200,4599600
2007,AR,0.11935336976320583,262100,2196000
2007,CA,0.05235864389926764,1369100,26148500
2007,CO,0.028448416807455447,104400,3669800
2007,CT,0.06907482491706597,187400,2713000
2007,DE,0.15163498098859315,99700,657500
2007,FL,0.11554942752477121,1709600,14795400
2007,GA,0.24807911212293682,1743500,7028000
2007,HI,0.01240719030871434,12700,1023600
2007,ID,0.0030625112592325707,3400,1110200
2007,IL,0.10125825082508251,981800,9696000
2007,IN,0.06032877480327573,301300,4994300
2007,IA,0.011728109630501492,27900,2378900
2007,KS,0.0363107524863952,77400,2131600
2007,KY,0.056396772146160123,186600,3308700
2007,LA,0.23989687199080545,772300,3219300
2007,ME,0.004182850313713774,4200,1004100
2007,MD,0.23101821881069085,999200,4325200
2007,MA,0.04237135480255389,211700,4996300
2007,MI,0.08399112624464737,651200,7753200
2007,MN,0.01876027704419752,75300,4013800
2007,MS,0.3144668326918723,694500,2208500
2007,MO,0.07683466342817488,354300,4611200
2007,MT,0.003153217715350437,2200,697700
2007,NE,0.020029455081001474,27200,1358000
2007,NV,0.061956912951822714,120500,1944900
2007,NH,0.006031128404669261,6200,1028000
2007,NJ,0.10446230640466891,692700,6631100
2007,NM,0.013780918727915195,19500,1415000
2007,NY,0.11652206298191649,1689500,14499400
2007,NC,0.17244151119008336,1222800,7091100
2007,ND,0.0034123222748815166,1800,527500
2007,OH,0.08327697271406873,751100,9019300
2007,OK,0.04860236716192395,135100,2779700
2007,OR,0.011659379554445138,33600,2881800
2007,PA,0.061227595021454,603600,9858300
2007,RI,0.040252182347235696,33200,824800
2007,SC,0.21904954382723177,758700,3463600
2007,SD,0.004055807916937054,2500,616400
2007,TN,0.11933710859427049,573200,4803200
2007,TX,0.09593185162602817,1636300,17056900
2007,UT,0.00598702810577083,10800,1803900
2007,VT,0.0035001029442042414,1700,485700
2007,VA,0.1603351582320737,960600,5991200
2007,WA,0.023280766038423387,115000,4939700
2007,WV,0.030004082188052797,44100,1469800
2007,WI,0.02726727260605791,122700,4499900
2007,WY,0.0036656891495601175,1500,409200
2008,AL,0.21453079897609062,787800,3672200
2008,AK,0.020210896309314587,9200,455200
2008,AZ,0.0294821232301028,136800,4640100
2008,AR,0.12316044508255564,274500,2228800
2008,CA,0.05299872751240104,1391100,26247800
2008,CO,0.028368604339673184,105900,3733000
2008,CT,0.0710522410210745,191500,2695200
2008,DE,0.14738124238733252,96800,656800
2008,FL,0.11665753165113714,1724000,14778300
2008,GA,0.2544661637266175,1814700,7131400
2008,HI,0.014494154024543434,15000,1034900
2008,ID,0.004785961180537091,5400,1128300
2008,IL,0.10288010578293837,995900,9680200
2008,IN,0.061970307146721165,309300,4991100
2008,IA,0.013096942642971447,31100,2374600
2008,KS,0.036657982880535914,78800,2149600
2008,KY,0.05954611701020196,200200,3362100
2008,LA,0.24820100012196608,814000,3279600
2008,ME,0.004970673029128144,5000,1005900
2008,MD,0.2303522410094346,998600,4335100
2008,MA,0.049990143899073525,253600,5073000
2008,MI,0.08610732593601973,663500,7705500
2008,MN,0.02002568028050768,81100,4049800
2008,MS,0.3151186440677966,697200,2212500
2008,MO,0.07527137997529955,347400,4615300
2008,MT,0.0018444948921679909,1300,704800
2008,NE,0.023153575615474795,31600,1364800
2008,NV,0.06323648923201951,124500,1968800
2008,NH,0.004992169146436962,5100,1021600
2008,NJ,0.10909473620904812,725600,6651100
2008,NM,0.015949971894322654,22700,1423200
2008,NY,0.11897070825532031,1734700,14580900
2008,NC,0.17919588917436288,1290300,7200500
2008,ND,0.006110368531602062,3200,523700
2008,OH,0.08596828074536919,774600,9010300
2008,OK,0.05087537145107587,142100,2793100
2008,OR,0.01223325658912065,35600,2910100
2008,PA,0.06056921689615692,597800,9869700
2008,RI,0.038366641993585,31100,810600
2008,SC,0.22546592687437758,792400,3514500
2008,SD,0.004720820446036138,2900,614300
2008,TN,0.12384973254360257,604300,4879300
2008,TX,0.09828554879814654,1696900,17265000
2008,UT,0.008293581960104076,15300,1844800
2008,VT,0.003336113427856547,1600,479600
2008,VA,0.1597904280130079,972900,6088600
2008,WA,0.02498409922086182,125700,5031200
2008,WV,0.028115190391701926,41200,1465400
2008,WI,0.028100495368416377,126500,4501700
2008,WY,0.008563273073263558,3600,420400
2009,AL,0.2130938123752495,800700,3757500
2009,AK,0.02763272410791993,12700,459600
2009,AZ,0.031983032873807,150800,4715000
2009,AR,0.12362001424501425,277700,2246400
2009,CA,0.05351402552264743,1435000,26815400
2009,CO,0.030210284689058335,114500,3790100
2009,CT,0.07187912571512395,196000,2726800
2009,DE,0.1477306883077848,98300,665400
2009,FL,0.12171444639342287,1818000,14936600
2009,GA,0.25356291243830753,1829000,7213200
2009,HI,0.008795989785302185,9300,1057300
2009,ID,0.004468980021030494,5100,1141200
2009,IL,0.10308366419123244,1002200,9722200
2009,IN,0.06301663131603465,317900,5044700
2009,IA,0.013173253293313323,31600,2398800
2009,KS,0.03563011229724109,77100,2163900
2009,KY,0.06058203388835051,206300,3405300
2009,LA,0.25551175354066286,875000,3424500
2009,ME,0.005853174603174603,5900,1008000
2009,MD,0.23410806742239354,1026400,4384300
2009,MA,0.04810714773814405,246400,5121900
2009,MI,0.0854983528195853,661800,7740500
2009,MN,0.02124996932741148,86600,4075300
2009,MS,0.32137906363189195,718700,2236300
2009,MO,0.0796272038138596,370800,4656700
2009,MT,0.0018390154194369783,1300,706900
2009,NE,0.023421735370423753,32500,1387600
2009,NV,0.06400714498362609,129000,2015400
2009,NH,0.008207132388861749,8400,1023500
2009,NJ,0.10651747329948022,711100,6675900
2009,NM,0.014222590444628556,20600,1448400
2009,NY,0.11862614871641954,1750400,14755600
2009,NC,0.1850417853880656,1357300,7335100
2009,ND,0.005597014925373134,3000,536000
2009,OH,0.08744820916354365,795700,9099100
2009,OK,0.05168776371308017,147000,2844000
2009,OR,0.012339851652056642,36600,2966000
2009,PA,0.06279008758122452,622300,9910800
2009,RI,0.047111541722175125,38900,825700
